ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
44.68,-33.09,-69.35,14.68,-40.37,-80.24,Seek needle
47.24,-32.92,-67.6,14.6,-39.88,-80.0,Seek needle
45.5,-33.5,-70.55,14.53,-39.1,-79.09,Seek needle
44.53,-34.98,-72.75,13.35,-37.02,-73.68,Seek needle
45.77,-35.01,-71.43,13.13,-36.06,-71.52,Seek needle
46.53,-34.74,-70.55,14.13,-35.68,-72.92,Seek needle
46.06,-35.04,-71.04,13.42,-34.72,-70.17,Seek needle
45.38,-34.86,-71.17,14.21,-34.71,-71.01,Seek needle
45.32,-34.56,-70.68,13.04,-33.94,-67.63,Seek needle
44.95,-35.02,-71.14,14.56,-33.51,-69.88,Seek needle
45.8,-34.93,-70.02,15.54,-33.64,-71.79,Seek needle
46.04,-34.87,-69.46,15.9,-32.59,-70.75,Seek needle
45.57,-35.33,-70.02,16.57,-32.76,-72.48,Seek needle
46.18,-35.56,-69.39,15.18,-32.33,-68.41,Seek needle
46.05,-34.96,-68.95,17.17,-31.44,-70.57,Seek needle
45.21,-35.18,-69.47,17.0,-30.48,-67.9,Seek needle
45.9,-34.8,-68.08,17.17,-29.29,-66.31,Seek needle
45.38,-35.13,-68.76,17.69,-28.97,-66.77,Seek needle
47.12,-35.77,-67.3,17.49,-28.26,-64.94,Seek needle
44.13,-36.5,-70.96,17.61,-27.73,-64.69,Seek needle
41.22,-37.92,-74.81,17.54,-26.86,-63.05,Seek needle
45.27,-36.37,-69.52,19.17,-27.26,-67.16,Seek needle
43.42,-37.13,-71.65,19.53,-27.33,-68.5,Seek needle
42.67,-37.34,-72.41,19.07,-26.77,-66.72,Seek needle
46.02,-37.44,-68.75,18.64,-26.84,-66.34,Seek needle
46.27,-37.19,-68.28,19.11,-26.39,-66.82,Seek needle
46.42,-38.22,-68.72,19.0,-26.21,-66.35,Seek needle
47.28,-38.21,-67.78,19.64,-27.75,-70.42,Seek needle
47.62,-39.2,-68.15,18.38,-26.11,-65.91,Seek needle
47.42,-40.45,-69.26,19.36,-25.98,-66.67,Seek needle
45.1,-40.66,-71.66,19.22,-25.85,-65.47,Seek needle
43.6,-41.74,-73.61,20.15,-26.18,-67.64,Seek needle
46.93,-41.95,-70.21,19.28,-25.67,-64.44,Seek needle
48.75,-41.75,-67.92,20.44,-26.6,-68.28,Seek needle
20.04,-93.95,-159.16,19.79,-26.0,-65.95,Seek needle
46.18,-43.1,-70.92,19.46,-25.58,-64.52,Seek needle
47.43,-42.63,-69.12,18.98,-25.41,-63.43,Seek needle
20.79,-94.45,-159.04,19.29,-25.41,-64.22,Seek needle
49.9,-44.17,-67.52,20.7,-25.56,-67.15,Seek needle
19.94,-94.48,-159.38,20.96,-26.01,-67.88,Seek needle
19.98,-94.64,-159.36,21.62,-27.14,-70.82,Seek needle
18.71,-95.24,-159.91,20.54,-25.5,-64.49,Seek needle
20.11,-94.64,-159.45,21.51,-25.98,-66.98,Seek needle
17.63,-95.93,-160.31,20.13,-25.57,-62.31,Seek needle
17.19,-96.38,-160.56,20.3,-25.54,-60.89,Seek needle
19.07,-95.62,-160.1,20.74,-26.49,-61.3,Seek needle
17.57,-96.67,-160.57,22.55,-28.41,-67.48,Seek needle
16.05,-97.65,-160.98,21.51,-27.57,-63.26,Seek needle
16.76,-96.74,-161.06,20.78,-27.28,-60.66,Seek needle
49.96,-47.03,-68.71,20.5,-27.52,-60.74,Seek needle
50.05,-47.24,-68.6,20.35,-27.51,-60.4,Seek needle
50.69,-47.3,-67.8,20.27,-27.41,-60.06,Seek needle
51.82,-47.73,-66.73,21.04,-28.54,-63.98,Seek needle
51.25,-47.46,-67.1,20.73,-27.62,-61.81,Seek needle
17.56,-96.31,-160.83,20.43,-27.47,-60.9,Seek needle
20.22,-95.65,-160.05,19.84,-27.85,-60.33,Seek needle
16.03,-97.37,-161.16,20.92,-27.83,-63.04,Seek needle
49.38,-47.28,-68.52,20.93,-27.97,-63.5,Seek needle
48.79,-47.18,-69.1,20.1,-27.66,-61.08,Seek needle
48.39,-47.32,-69.65,21.43,-28.12,-64.68,Seek needle
16.48,-97.31,-160.94,20.37,-27.23,-61.06,Seek needle
16.26,-97.51,-160.94,20.44,-27.9,-62.51,Seek needle
15.24,-98.18,-161.08,20.51,-28.26,-63.48,Seek needle
50.33,-47.01,-67.02,20.8,-28.27,-64.53,Seek needle
48.67,-46.94,-68.72,20.09,-27.37,-61.75,Seek needle
16.15,-97.42,-160.75,21.08,-29.19,-67.57,Seek needle
17.68,-96.18,-160.35,20.23,-27.44,-62.99,Seek needle
18.12,-95.98,-160.12,20.44,-27.43,-63.55,Seek needle
20.28,-94.48,-159.19,19.99,-27.29,-62.29,Seek needle
17.37,-96.62,-160.11,19.81,-26.62,-60.78,Seek needle
48.66,-44.97,-67.25,19.91,-26.9,-61.35,Seek needle
19.41,-94.75,-159.28,19.24,-26.08,-58.66,Seek needle
50.28,-44.85,-65.56,21.42,-27.57,-66.14,Seek needle
50.38,-43.9,-64.96,21.03,-28.04,-66.87,Seek needle
20.38,-93.62,-158.72,20.3,-27.63,-64.73,Seek needle
21.44,-92.97,-158.22,19.41,-27.1,-63.45,Seek needle
19.77,-93.53,-158.87,20.01,-27.65,-66.77,Seek needle
43.65,-42.11,-70.44,20.66,-28.72,-70.78,Seek needle
46.53,-41.15,-66.71,20.04,-28.12,-70.48,Seek needle
46.54,-40.7,-66.36,19.75,-27.59,-69.53,Seek needle
46.57,-40.07,-66.1,19.72,-27.59,-69.59,Seek needle
45.56,-38.66,-65.92,19.81,-26.7,-68.21,Seek needle
44.25,-39.05,-67.6,20.42,-27.35,-70.19,Seek needle
43.59,-38.19,-67.78,19.02,-25.74,-64.52,Seek needle
43.15,-37.56,-67.31,19.83,-26.72,-67.79,Seek needle
44.7,-37.08,-65.35,19.71,-26.71,-67.43,Seek needle
43.56,-36.44,-65.95,18.98,-25.93,-64.71,Seek needle
43.99,-36.13,-65.14,20.75,-26.53,-68.44,Seek needle
45.1,-35.25,-63.07,19.56,-26.17,-65.53,Seek needle
43.0,-35.48,-65.58,20.11,-26.31,-66.9,Seek needle
38.08,-36.03,-70.95,21.05,-28.06,-71.91,Seek needle
43.26,-33.83,-63.65,20.52,-26.01,-66.96,Seek needle
39.8,-34.06,-67.57,21.65,-27.19,-70.16,Seek needle
41.86,-32.9,-64.32,22.18,-27.37,-70.62,Seek needle
42.36,-32.31,-63.32,21.98,-28.11,-71.46,Seek needle
42.22,-32.34,-63.42,21.27,-27.18,-68.2,Seek needle
37.33,-33.41,-69.35,20.75,-27.48,-67.58,Seek needle
38.2,-32.61,-67.57,20.01,-27.26,-67.26,Seek needle
37.67,-33.05,-68.35,19.9,-26.77,-66.83,Seek needle
39.8,-32.66,-65.77,20.5,-26.74,-69.07,Seek needle
39.32,-32.74,-66.25,20.26,-26.67,-69.64,Seek needle
38.23,-32.52,-67.21,20.44,-27.18,-72.81,Seek needle
35.98,-33.07,-70.0,19.58,-26.17,-70.68,Seek needle
35.89,-33.01,-70.03,18.71,-24.59,-67.05,Seek needle
37.67,-32.45,-67.65,18.97,-24.72,-67.61,Seek needle
37.4,-32.13,-67.58,18.67,-23.77,-65.65,Seek needle
