ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
41.72,-10.28,-50.93,11.9,-10.86,-64.99,Seek needle
42.33,-9.68,-50.3,12.45,-11.28,-61.77,Seek needle
42.27,-9.53,-50.3,15.57,-13.28,-63.62,Seek needle
42.45,-8.39,-49.67,15.52,-13.99,-57.55,Seek needle
42.25,-8.89,-50.62,18.03,-13.91,-58.26,Seek needle
41.65,-9.43,-51.92,20.68,-15.0,-60.82,Seek needle
41.48,-8.64,-51.89,21.34,-14.96,-58.19,Seek needle
41.95,-8.52,-51.85,23.17,-15.0,-59.09,Seek needle
42.54,-7.65,-50.66,24.34,-15.86,-60.94,Seek needle
42.31,-7.33,-50.72,24.55,-15.8,-59.84,Seek needle
42.66,-6.59,-49.96,22.86,-16.85,-60.05,Seek needle
41.92,-7.12,-51.2,22.18,-16.83,-61.21,Seek needle
40.17,-9.32,-54.83,23.65,-15.04,-61.99,Seek needle
40.13,-8.88,-54.58,25.88,-16.66,-70.0,Seek needle
40.35,-9.09,-54.49,24.5,-14.49,-67.89,Seek needle
41.27,-7.61,-52.79,22.33,-11.0,-63.4,Seek needle
41.46,-6.95,-52.24,21.71,-12.49,-67.73,Seek needle
41.39,-7.97,-53.28,19.42,-11.59,-63.59,Seek needle
41.02,-6.86,-52.96,19.27,-11.09,-63.57,Seek needle
40.76,-6.41,-53.13,21.54,-11.93,-69.96,Seek needle
40.54,-6.9,-53.74,19.82,-11.63,-67.89,Seek needle
41.35,-6.65,-52.89,18.1,-10.05,-62.64,Seek needle
40.96,-6.54,-53.0,18.95,-11.28,-65.69,Seek needle
40.73,-6.41,-53.26,16.35,-8.18,-56.64,Seek needle
40.68,-6.35,-53.26,15.84,-10.96,-58.21,Seek needle
39.87,-7.0,-54.66,18.11,-13.42,-60.21,Seek needle
39.64,-7.15,-55.1,17.91,-13.6,-55.69,Seek needle
39.61,-7.38,-55.43,19.45,-13.14,-56.22,Seek needle
40.61,-6.7,-53.98,19.51,-15.73,-61.29,Seek needle
39.65,-7.51,-55.35,19.12,-14.51,-59.36,Seek needle
40.68,-6.09,-53.07,18.17,-13.84,-56.08,Seek needle
39.6,-7.42,-55.15,18.02,-13.34,-55.05,Seek needle
39.38,-7.56,-55.42,17.53,-14.72,-57.16,Seek needle
41.09,-6.24,-52.78,18.44,-14.22,-59.87,Seek needle
40.31,-6.25,-53.63,18.72,-13.14,-61.79,Seek needle
40.55,-6.02,-53.18,19.02,-13.73,-65.68,Seek needle
38.48,-7.62,-56.7,16.52,-10.46,-61.07,Seek needle
39.45,-7.3,-55.35,15.7,-9.48,-63.55,Seek needle
38.65,-7.7,-56.24,13.62,-10.68,-63.51,Seek needle
