ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
56.99,25.72,-45.16,-3.88,-39.84,-124.05,Seek needle
59.09,21.4,-27.48,12.66,-25.25,-83.18,Seek needle
58.3,20.96,-36.15,14.67,-23.72,-81.55,Seek needle
59.41,22.58,-43.61,17.26,-21.12,-84.3,Seek needle
58.68,24.51,-43.02,18.68,-20.24,-82.96,Seek needle
57.53,24.58,-43.7,20.44,-19.66,-82.92,Seek needle
54.79,22.29,-47.71,20.74,-19.78,-81.83,Seek needle
56.15,24.56,-46.37,22.2,-20.7,-84.35,Seek needle
58.84,26.43,-44.66,22.19,-20.6,-83.53,Seek needle
59.61,31.72,-42.7,22.43,-21.4,-87.7,Seek needle
58.45,31.68,-43.56,22.41,-21.58,-90.65,Seek needle
53,26.19,-49.4,20.47,-20.87,-88.76,Seek needle
50.13,25.43,-50.42,20.53,-20.6,-88.04,Seek needle
26.15,-64.51,-134.39,20.28,-19.58,-85.83,Seek needle
51.87,29.04,-43.28,20.7,-19.67,-85.59,Seek needle
55.85,33.33,-37,20.23,-19.94,-83.93,Seek needle
52.23,28.28,-42.9,20.7,-20.49,-84.18,Seek needle
49.42,26.25,-48.35,20.95,-20.47,-81.73,Seek needle
50.25,26.54,-48.84,22.44,-22.67,-84.08,Seek needle
47.34,22.76,-54.1,23.61,-23.76,-83.74,Seek needle
44.8,18.48,-59.11,24.12,-23.69,-80.65,Seek needle
45.14,18.28,-58.57,24.88,-24.22,-79.36,Seek needle
44.9,20.9,-57.16,25.76,-24.11,-76.99,Seek needle
39.43,18.39,-62.6,25.36,-23.66,-73.65,Seek needle
41.98,18.37,-60.59,26.63,-23.02,-73.21,Seek needle
46.67,22.58,-54.6,27.71,-23.38,-74.16,Seek needle
51.9,28.3,-46.4,27.46,-22.72,-71.53,Seek needle
50.29,26.79,-48.48,28.1,-22.84,-71.35,Seek needle
51.01,27.63,-47.13,28.31,-21.92,-68.78,Seek needle
50.52,26.77,-48.32,27.37,-23.4,-70.05,Seek needle
43.53,18.31,-59.46,29.08,-24.88,-76.61,Seek needle
46.92,23.29,-55.19,28.09,-23.38,-73.65,Seek needle
48.97,25.16,-53.13,28.42,-23.42,-76.22,Seek needle
43.8,22.27,-58.04,27.82,-22.99,-76.67,Seek needle
48.18,25.81,-51.48,26.15,-22.58,-74.13,Seek needle
46.11,25.94,-51.35,26.88,-21.89,-75.28,Seek needle
44.75,25.99,-50.74,25.85,-20.03,-70.73,Seek needle
42.44,25.03,-51.64,26.25,-20.84,-72.85,Seek needle
40.91,26.65,-51.11,27.19,-21.89,-75.87,Seek needle
38.44,27.08,-55.33,26.43,-21.55,-75.68,Seek needle
35.76,17.9,-66.72,27.04,-23.47,-80.7,Seek needle
34.53,9.16,-77.6,25.91,-23.12,-79.3,Seek needle
32.52,8.28,-83.76,25.18,-21.64,-77.15,Seek needle
34.46,7.71,-83.93,25.06,-20.88,-75.47,Seek needle
35.24,6.96,-83.74,24.96,-20.07,-74.1,Seek needle
36.98,10.25,-82.14,25.33,-20.13,-74.19,Seek needle
32.64,5.21,-87.8,25.95,-20.77,-76.26,Seek needle
33.95,8.13,-84.51,25.68,-20.56,-75.14,Seek needle
31.78,4.22,-87.31,25.43,-21.62,-77.06,Seek needle
31.6,3.39,-86.19,26.11,-22.38,-79.86,Seek needle
32.51,2.48,-85.36,26.13,-22.39,-80.67,Seek needle
34.65,3.89,-82.14,25.97,-22.56,-81.35,Seek needle
30.69,-1.39,-86.66,26.03,-22.22,-81.08,Seek needle
32.37,1.54,-82.83,25.9,-22.08,-80.74,Seek needle
38.47,4,-75.72,25.72,-21.63,-79.74,Seek needle
39.08,5.64,-73.56,25.75,-21.68,-79.85,Seek needle
38.49,5.35,-74.18,25.12,-21.47,-78.34,Seek needle
41.68,7.44,-70.86,24.93,-21.22,-77.73,Seek needle
41.9,6.97,-71.05,24.81,-21.23,-77.96,Seek needle
41.18,4.51,-72.93,24.63,-20.85,-77.54,Seek needle
40.23,0.92,-75.04,24.86,-20.49,-77.01,Seek needle
39.2,0.12,-75.99,24.61,-20.37,-75.59,Seek needle
31.02,-5.88,-84.45,25.25,-21.17,-77.09,Seek needle
35.57,-7.88,-78.94,25.72,-23.13,-80.95,Seek needle
38.63,-3.25,-71.68,25.57,-23.62,-82.27,Seek needle
42.32,-0.86,-65.25,25.78,-25.9,-87.21,Seek needle
43.2,-1,-62.93,24.68,-25.8,-86.34,Seek needle
43.87,-2.27,-61.4,24.29,-25.6,-85.74,Seek needle
43.67,-1.99,-61.27,22.24,-24.11,-81.15,Seek needle
44.16,-0.3,-60.39,22.87,-25.45,-84.22,Seek needle
45.03,-2.63,-63.71,22.4,-25.83,-83.95,Seek needle
51.67,-1.65,-61.22,21.92,-26.03,-83.02,Seek needle
50.82,-5.98,-68.74,22.42,-27,-85.39,Seek needle
52.74,-7.66,-72.3,21.68,-26.63,-82.53,Seek needle
50.71,-12.42,-79.79,23.05,-27.89,-84.82,Seek needle
52.03,-13.96,-81.49,21.65,-27.28,-79.14,Seek needle
52.86,-17.59,-83.73,22.09,-27.43,-77.62,Seek needle
49.7,-18.59,-86.03,21.68,-27.53,-73.38,Seek needle
52.08,-17.52,-81.41,24.11,-28.53,-74.95,Seek needle
54.57,-17.07,-76.42,24.21,-27.01,-71.16,Seek needle
54.19,-16.44,-74.34,24.81,-26.69,-74.06,Seek needle
54.8,-13.82,-70.88,23.99,-24.88,-71.3,Seek needle
57.11,-11.14,-66.47,24.05,-24.04,-70.34,Seek needle
53.82,-12.55,-68.35,25.41,-26.53,-77.64,Seek needle
56.96,-9.86,-61.23,23.41,-24.76,-74.12,Seek needle
52.19,-9.59,-61.97,22.32,-23.72,-71.51,Seek needle
56.08,-5.45,-52.48,22.38,-22.43,-69.85,Seek needle
51.06,-5.32,-54.62,23.1,-22.94,-70.2,Seek needle
50.74,-4.34,-52.64,24.49,-22.75,-69.14,Seek needle
52.17,-1.39,-48.56,24.67,-22.14,-67.3,Seek needle
48.9,-2.91,-52.5,24.97,-23.56,-69.95,Seek needle
50.86,-3.57,-51.43,24.74,-25.72,-74.2,Seek needle
51.45,-1.76,-51.37,24.78,-26.58,-77.68,Seek needle
55.23,-0.15,-48.87,24.62,-26.32,-77.9,Seek needle
51.31,-2.02,-55.99,24.46,-25.77,-77.9,Seek needle
53.66,-2.27,-55.8,24.22,-25.15,-76.75,Seek needle
51.95,-5.08,-60.25,24.3,-25.26,-77.3,Seek needle
53.54,-4.65,-59.64,24.45,-24.95,-77.56,Seek needle
52.06,-4.89,-60.97,23.97,-24.4,-76.23,Seek needle
52.48,-3.81,-59.94,23.92,-24.72,-77.29,Seek needle
50.43,-4.83,-62.46,23.26,-23.17,-73.76,Seek needle
51.22,-3.93,-60.8,23.02,-22.44,-72.41,Seek needle
53.59,-2.95,-58.5,23.42,-22.44,-72.97,Seek needle
54.81,-2.27,-58.62,23.8,-22.66,-74.07,Seek needle
53.3,-2.57,-62.31,23.27,-22.28,-72.64,Seek needle
52.19,-3.82,-65.55,23.44,-22.45,-73.09,Seek needle
55.86,0.54,-62.05,24.07,-23.01,-74.94,Seek needle
48.23,-6.36,-72.67,23.91,-23.03,-74.95,Seek needle
50.12,-2.34,-68.59,24.41,-23.52,-76.45,Seek needle
46.62,-5.24,-71.48,24.17,-23.27,-75.58,Seek needle
49.93,-2.05,-63.16,22.34,-22.02,-70.53,Seek needle
43.12,-3.44,-63.25,23.78,-22.43,-74.02,Seek needle
42.59,-5.55,-58.4,23.19,-22.16,-72.72,Seek needle
44.14,1.32,-45.86,23.08,-22.2,-72.89,Seek needle
50.16,13.55,-35.19,22.91,-22.35,-72.79,Seek needle
54.78,29.38,-31.78,23.7,-22.34,-73.97,Seek needle
44.33,22.24,-55.77,24.02,-22.56,-74.98,Seek needle
31.47,22.37,-63.58,23.92,-22.72,-74.97,Seek needle
17.92,12.84,-80.19,24.07,-22.72,-74.63,Seek needle
27.86,-34.55,-119.27,23.35,-26.72,-77.83,Seek needle
25.41,-41.38,-123.39,22.95,-26.5,-76.81,Seek needle
28.44,-41.91,-121.05,23.41,-27.53,-79.08,Seek needle
26.52,-40.45,-119.85,23.88,-28.76,-81.76,Seek needle
30.02,-41.24,-115.51,23.53,-29.32,-82.85,Seek needle
30.2,-36.77,-109.02,23.42,-29.56,-83.47,Seek needle
29.65,-36.87,-105.69,22.98,-29.17,-82.37,Seek needle
27.43,-36.76,-100.19,22.52,-28.25,-80.03,Seek needle
32.33,-31.66,-91.61,22.63,-28.66,-81.44,Seek needle
35.78,-33.39,-92.08,21.59,-27.73,-77.93,Seek needle
30.55,-32.72,-91.57,22.11,-27.89,-79.08,Seek needle
36.37,-31.08,-86.42,22.3,-28.16,-79.91,Seek needle
37.41,-31.04,-86.27,21.78,-27.35,-77.81,Seek needle
37.63,-30.81,-85.89,22.05,-27.54,-78.54,Seek needle
40.84,-29.13,-79.54,22.5,-28.22,-80.87,Seek needle
38.26,-28.47,-77.23,22.03,-27.42,-78.88,Seek needle
37.97,-26.29,-72.64,21.35,-26.7,-76.47,Seek needle
40.38,-24.96,-67.97,21.73,-27.08,-77.71,Seek needle
40.77,-25.1,-67.61,22.5,-28.13,-80.92,Seek needle
46.68,-22.39,-64.27,21.69,-26.85,-77.67,Seek needle
45.26,-23.09,-75.67,22.28,-27.52,-79.77,Seek needle
49.12,-21.29,-75.1,22.05,-26.93,-77.85,Seek needle
48.26,-23.46,-73.32,21.64,-26.34,-75.8,Seek needle
48.37,-23.08,-72.85,21.46,-26.51,-75.54,Seek needle
49.73,-21.74,-70.48,21.95,-27.29,-77.65,Seek needle
49.14,-20.91,-69.74,21.72,-26.99,-76.76,Seek needle
48.79,-20.46,-68.55,21.63,-26.85,-76.52,Seek needle
47.96,-19.17,-66.78,22.89,-27.96,-80.96,Seek needle
48.36,-15.2,-61.22,22.82,-27.24,-79.81,Seek needle
47.53,-11.99,-56.12,22.23,-26.23,-77.01,Seek needle
47.39,-6.83,-51.27,21.93,-25.44,-75.3,Seek needle
42.82,-7.39,-49.66,22.42,-25.89,-76.93,Seek needle
44.71,-3.33,-37.77,22.31,-25.31,-75.82,Seek needle
44.24,-1.21,-28.77,23.21,-26.76,-80.04,Seek needle
48.07,-2.64,-19.82,22.23,-27.06,-79.22,Seek needle
51.97,-0.63,-7.38,22.99,-27.85,-81.64,Seek needle
48.24,-3.33,-9.62,22.5,-27.73,-81.8,Seek needle
46.2,-4.64,-8.52,22.76,-27.52,-81.83,Seek needle
47.88,-1.81,-0.75,21.93,-26.46,-78.84,Seek needle
46.2,-1.92,-2.03,22.09,-26.03,-78.72,Seek needle
46.38,-4.7,-4.26,22.41,-26.13,-79.1,Seek needle
47.74,-4.41,-2.39,22.28,-25.81,-78.13,Seek needle
48.99,-1.6,1.32,21.48,-24.9,-74.7,Seek needle
46.73,0.21,-1.77,21.35,-24.02,-73.41,Seek needle
50.56,0.03,0.67,23.24,-25.25,-80.33,Seek needle
50.63,2.1,0.11,21.05,-22.15,-74.34,Seek needle
53.93,2.76,0.17,21.23,-19.87,-73.78,Seek needle
52.98,1,-7.37,20.18,-17.59,-71.36,Seek needle
59.85,1.88,-2.86,19.28,-16.6,-70.33,Seek needle
59.6,-0.05,-10.96,13.79,-9.73,-61.47,Seek needle
59.82,-6.63,-22.17,12.67,-7.07,-66.29,Seek needle
59.02,-6.36,-22.86,11.87,-7.61,-66.29,Seek needle
58.8,-7.31,-24.08,11.07,-8.21,-63.67,Seek needle
59,-8.32,-24.45,10.75,-9.99,-59.7,Seek needle
59.53,-7.83,-23.41,13.02,-12.21,-50.82,Seek needle
56.47,-7.74,-26.76,18.33,-14.27,-55.55,Seek needle
58.4,-7.9,-24.91,19.01,-14.16,-45.28,Seek needle
59.03,-7.87,-24.29,23.16,-16.47,-46.8,Seek needle
59.72,-8.35,-23.87,25.96,-15.69,-42.18,Seek needle
55.52,-9.37,-29.08,28.06,-14.96,-38.04,Seek needle
57.38,-8.76,-26.61,29.5,-12.53,-34.41,Seek needle
58.87,-9.42,-25.11,29.13,-11.56,-30.78,Seek needle
57.15,-10.43,-27.58,29.48,-11.73,-32.25,Seek needle
58.3,-10.7,-26.34,31.35,-9.73,-32.73,Seek needle
56.6,-11.14,-28.67,33.6,-10.93,-39.54,Seek needle
58.26,-11.33,-26.77,30.53,-12.17,-37.45,Seek needle
59.6,-10.54,-24.76,33.19,-10.32,-44.45,Seek needle
56.03,-12,-29.57,33.86,-9.3,-49.36,Seek needle
56.76,-10.9,-27.8,35.23,-11.3,-59.93,Seek needle
58.7,-10.41,-25.32,33.29,-8.88,-56.04,Seek needle
56.68,-10.81,-27.39,32.2,-6.59,-52.45,Seek needle
57.98,-10.18,-25.39,31.74,-5.95,-51.21,Seek needle
59.35,-10.44,-23.9,31.5,-4.04,-48.69,Seek needle
57.61,-10.42,-25.57,30.49,-2.74,-44.39,Seek needle
58.52,-9.61,-23.71,30.22,-2.01,-42.34,Seek needle
59.76,-9.67,-22.33,30.28,0.24,-37.94,Seek needle
58.17,-11.45,-25.36,31.47,-0.63,-40.64,Seek needle
59.68,-10.7,-22.7,32.08,-1.35,-42.56,Seek needle
58.61,-11.01,-23.85,30.09,-2,-34.98,Seek needle
58.65,-11.37,-24.03,31.09,-2.3,-34.95,Seek needle
58.46,-11.53,-24.32,32.11,-4.51,-40.78,Seek needle
57.66,-11.42,-25.08,30.42,-6.89,-41.24,Seek needle
58.26,-11.43,-24.45,30.05,-6.86,-41.56,Seek needle
55.99,-12.95,-28.4,29.33,-5.47,-38.07,Seek needle
55.3,-13.24,-29.45,28.93,-3.8,-35.55,Seek needle
56.04,-12.96,-28.36,29.41,-2.33,-33.43,Seek needle
54.18,-12.8,-30.33,28.16,-1.82,-29.77,Seek needle
58.63,-12.67,-25.12,29.93,-2.47,-34.52,Seek needle
58.66,-12.62,-25.06,30.58,-2.3,-35.35,Seek needle
56.84,-11.94,-26.59,30.29,-0.56,-29.73,Seek needle
56.52,-12.9,-27.56,32.33,-1.58,-33.78,Seek needle
52.98,-14.13,-32.47,31.05,0.32,-25.59,Seek needle
55.2,-12.56,-28.67,31.36,0.69,-25.6,Seek needle
55.36,-12.79,-28.48,30.21,-0.47,-24.36,Seek needle
56.98,-12.4,-26.5,31.78,-0.8,-29.43,Seek needle
57.71,-12.4,-25.52,33.83,1.87,-27.68,Seek needle
56.89,-12.74,-26.64,34.8,2.61,-26.21,Seek needle
57.5,-12.14,-25.32,34.16,3.94,-19.68,Seek needle
57.38,-12.01,-25.37,33.62,3.43,-20.06,Seek needle
57.19,-12.16,-25.74,33.38,0.3,-26.11,Seek needle
57.25,-11.96,-25.5,34.11,3.24,-21.8,Seek needle
56.28,-11.95,-26.59,37.89,3.93,-26.86,Seek needle
56.57,-11.6,-25.92,36.76,4.05,-20.85,Seek needle
59.39,-10.58,-22.24,36.91,6.18,-15.62,Seek needle
59.4,-10.27,-22,37.35,3.27,-21.02,Seek needle
59.18,-10.38,-22.3,35.07,3.5,-19.03,Seek needle
59.66,-12.03,-22.97,36.48,6.37,-20.17,Seek needle
59.51,-12.11,-23.19,38.52,8.37,-19.52,Seek needle
59.25,-10.91,-22.53,35.99,8.81,-11.68,Seek needle
59,-11.42,-23.08,37.58,8.82,-16.33,Seek needle
59.55,-11.57,-22.5,37.85,9.04,-20.85,Grasp needle
59.96,-11.85,-22.23,37.21,9.73,-17.72,Grasp needle
59.85,-10.75,-21.26,36.99,10.88,-14.52,Grasp needle
58.67,-12.68,-24.18,41.07,11.02,-24.53,Grasp needle
59.73,-12.32,-22.63,41.54,9.96,-27.01,Grasp needle
57.92,-12.47,-24.62,39.94,11.74,-21.02,Grasp needle
58.26,-12.28,-24.12,39.38,12.33,-17.1,Grasp needle
