ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
32.52,-16.17,-42.39,-13.36,-35.76,-55.28,Seek needle
29.51,-16.56,-45.08,-14.25,-35.51,-53.09,Seek needle
29.81,-14.96,-41.84,-14.07,-35.69,-53.51,Seek needle
27.96,-14.05,-41.7,-13.44,-35.74,-54.62,Seek needle
26.46,-13.68,-41.05,-13.89,-35.45,-53.62,Seek needle
26.82,-12.23,-37.39,-14.8,-35.57,-52.39,Seek needle
24.91,-12.4,-39.16,-13.93,-35.63,-53.79,Seek needle
27.68,-10.46,-33.63,-14.22,-35.72,-53.38,Seek needle
27.91,-10.06,-33.34,-14.62,-35.56,-52.34,Seek needle
28.63,-8.24,-31.01,-14.72,-35.75,-52.35,Seek needle
26.15,-8.74,-34.42,-14.68,-35.62,-52.34,Seek needle
25.55,-8.49,-34.31,-14.46,-35.28,-52.53,Seek needle
27.67,-6.02,-29.28,-13.16,-35.47,-54.65,Seek needle
29.27,-2.69,-24.84,-14.48,-35.7,-53.18,Seek needle
30.28,-1.7,-24.24,-12.35,-35.73,-56.17,Seek needle
29.78,-0.59,-25.1,-11.52,-36.11,-57.84,Seek needle
29.46,-0.48,-25.68,-13.58,-35.58,-53.94,Seek needle
27.73,-0.92,-26.82,-14.33,-35.55,-52.49,Seek needle
28.12,0.57,-23.64,-14.36,-35.49,-52.01,Seek needle
31.16,2.48,-19.15,-14.38,-36.01,-52.5,Seek needle
25.16,-59.99,-97.78,-13.99,-35.98,-52.91,Seek needle
35.93,7.26,-10.96,-14.08,-35.98,-52.81,Seek needle
29.65,3.55,-21.06,-13.53,-35.88,-53.46,Seek needle
34.74,6.77,-10.1,-13.17,-36.0,-54.27,Seek needle
34.74,7.38,-9.99,-13.62,-35.53,-53.14,Seek needle
36.71,11.33,-5.45,-13.92,-35.94,-52.24,Seek needle
38.33,12.9,-3.76,-9.98,-36.62,-59.45,Seek needle
45.54,20.0,11.64,-14.39,-36.03,-51.34,Seek needle
36.4,14.15,-4.82,-12.56,-36.49,-54.61,Seek needle
37.5,15.84,-0.6,-13.08,-36.01,-53.11,Seek needle
36.6,15.78,-2.1,-12.26,-36.3,-54.73,Seek needle
39.25,20.19,4.86,-12.67,-36.07,-53.71,Seek needle
41.55,22.41,9.22,-12.21,-36.45,-54.31,Seek needle
41.69,21.09,8.09,-13.4,-36.8,-52.51,Seek needle
40.48,20.89,7.83,-12.84,-36.64,-52.65,Seek needle
38.14,21.5,7.29,-10.43,-37.23,-57.17,Seek needle
37.18,20.91,6.15,-10.85,-36.51,-55.4,Seek needle
37.63,22.11,8.11,-13.16,-36.91,-52.01,Seek needle
37.97,22.37,8.57,-11.18,-36.75,-54.58,Seek needle
35.53,22.23,5.37,-11.33,-37.15,-54.23,Seek needle
39.71,24.42,12.83,-11.93,-37.02,-52.6,Seek needle
36.8,21.72,6.98,-9.46,-37.87,-57.75,Seek needle
38.43,23.33,10.72,-10.88,-37.4,-54.52,Seek needle
37.48,22.72,8.92,-8.98,-37.9,-58.32,Seek needle
38.34,23.3,10.83,-11.17,-37.47,-53.93,Seek needle
40.63,24.12,15.05,-11.51,-36.98,-51.79,Seek needle
38.6,22.99,11.48,-11.33,-37.35,-52.08,Seek needle
35.85,20.53,5.73,-12.03,-37.23,-50.51,Seek needle
39.42,21.13,10.7,-11.54,-37.17,-50.79,Seek needle
39.31,21.14,10.82,-12.45,-37.28,-48.95,Seek needle
40.65,22.31,13.35,-11.9,-37.77,-49.79,Seek needle
39.51,22.03,11.56,-13.83,-37.94,-46.48,Seek needle
42.06,23.98,16.71,-11.57,-38.28,-50.66,Seek needle
38.57,20.78,9.33,-11.65,-38.29,-50.41,Seek needle
37.39,20.31,7.4,-11.85,-38.38,-50.14,Seek needle
40.21,21.06,11.95,-10.8,-38.48,-52.11,Seek needle
40.2,19.94,10.73,-9.42,-39.21,-55.42,Grasp needle
41.76,20.11,13.11,-12.89,-39.15,-49.05,Grasp needle
37.78,18.98,7.03,-13.07,-39.52,-48.55,Grasp needle
36.34,19.33,5.37,-12.85,-40.07,-49.25,Grasp needle
36.03,18.86,4.12,-14.0,-40.73,-47.18,Grasp needle
36.46,18.75,4.27,-13.52,-40.08,-45.71,Grasp needle
36.93,18.91,5.1,-12.63,-40.22,-46.25,Grasp needle
36.79,16.83,2.69,-12.64,-40.48,-46.02,Grasp needle
41.88,19.58,12.1,-12.87,-40.1,-45.98,Grasp needle
45.96,20.94,13.72,-9.94,-39.21,-51.08,Grasp needle
41.92,19.23,1.56,-9.25,-38.78,-52.92,Set needle
42.07,22.19,-0.88,-8.8,-38.63,-55.07,Set needle
41.63,20.12,-8.76,-8.85,-38.53,-55.34,Set needle
36.67,15.6,-22.7,-8.91,-38.67,-54.84,Set needle
39.6,18.02,-19.28,-7.27,-38.72,-56.78,Set needle
35.55,13.28,-27.41,-5.93,-38.38,-59.2,Set needle
31.66,11.2,-31.58,-9.59,-37.47,-52.4,Set needle
31.96,9.77,-29.36,-8.87,-36.64,-52.54,Set needle
