ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
45.28,23.27,-20.19,8.65,20.24,-51.53,Seek needle
44.86,21.44,-20.47,6.89,16.13,-60.2,Seek needle
45.05,20.61,-19.85,0.15,17.72,-54.65,Seek needle
44.88,20.86,-19.68,1.71,18.97,-54.51,Seek needle
42.75,21.11,-22.27,0.26,15.68,-50.18,Seek needle
42.16,18.43,-25.63,1.33,14.69,-45.56,Seek needle
41.98,18.54,-26.61,5.02,13.67,-45.73,Seek needle
42.35,17.66,-26.89,6.59,14.35,-43.95,Seek needle
44.57,19.0,-23.71,6.49,13.85,-41.8,Seek needle
44.56,18.28,-23.2,7.12,12.56,-41.45,Seek needle
44.85,18.29,-21.46,9.36,8.94,-44.24,Seek needle
44.75,18.06,-21.41,13.27,9.09,-45.54,Seek needle
45.91,18.07,-20.29,10.64,10.17,-39.02,Seek needle
43.13,14.36,-25.61,13.39,10.28,-41.02,Seek needle
43.6,14.06,-25.48,13.77,8.7,-42.93,Seek needle
43.09,14.72,-26.33,13.44,7.5,-44.03,Seek needle
43.42,15.62,-25.85,12.59,7.32,-41.61,Seek needle
42.52,15.01,-26.73,11.67,5.93,-39.09,Seek needle
41.97,15.07,-27.71,11.23,5.01,-36.61,Seek needle
42.6,15.64,-27.35,11.43,4.46,-37.02,Seek needle
43.07,15.42,-27.35,11.56,2.49,-41.66,Seek needle
41.56,17.2,-27.69,11.04,1.8,-43.07,Seek needle
40.18,14.98,-30.52,11.34,0.85,-45.64,Seek needle
40.41,16.81,-29.4,8.99,3.0,-43.35,Seek needle
35.97,13.73,-35.8,9.41,2.25,-47.87,Seek needle
35.72,14.27,-35.35,8.6,4.43,-44.33,Seek needle
38.89,14.55,-31.56,9.65,3.93,-42.68,Seek needle
40.47,17.26,-27.34,12.28,1.71,-45.0,Seek needle
39.65,15.14,-30.36,9.15,2.35,-35.77,Seek needle
42.9,19.0,-26.38,9.67,2.98,-34.04,Seek needle
46.14,23.03,-23.15,15.18,-2.04,-43.5,Seek needle
44.86,19.86,-28.4,16.31,-4.31,-40.8,Seek needle
46.13,19.39,-28.46,19.73,-6.56,-41.91,Seek needle
47.76,19.94,-27.91,21.6,-7.72,-41.64,Seek needle
46.32,19.29,-31.03,20.25,-6.58,-34.03,Seek needle
51.52,23.73,-24.84,21.4,-7.7,-37.28,Seek needle
45.5,16.86,-36.7,24.26,-8.39,-43.89,Seek needle
47.95,17.87,-34.75,22.96,-8.62,-40.6,Seek needle
47.02,15.77,-37.56,23.88,-10.74,-47.8,Seek needle
49.96,18.55,-34.81,24.54,-10.77,-50.49,Seek needle
55.45,22.5,-29.77,25.46,-8.34,-45.94,Seek needle
34.83,-54.0,-120.29,24.67,-8.61,-44.7,Seek needle
57.81,17.72,-34.25,23.52,-10.02,-47.8,Seek needle
58.83,18.35,-34.51,24.42,-7.39,-51.16,Seek needle
59.74,9.29,-29.28,11.68,-7.88,-54.77,Seek needle
56.38,8.24,-31.02,10.21,-10.03,-54.17,Seek needle
56.26,6.86,-30.0,10.49,-11.21,-55.78,Seek needle
53.54,6.26,-31.31,11.29,-13.38,-60.16,Seek needle
50.97,5.61,-33.38,9.98,-13.86,-61.01,Seek needle
49.01,5.39,-35.02,9.22,-12.42,-61.59,Seek needle
48.44,7.65,-34.65,9.27,-11.47,-63.84,Seek needle
50.25,8.37,-32.14,9.51,-11.54,-65.21,Seek needle
47.22,5.54,-36.71,9.68,-10.2,-62.87,Seek needle
46.58,6.23,-35.53,11.11,-11.03,-64.82,Seek needle
45.16,5.53,-35.89,11.13,-11.16,-63.9,Seek needle
46.75,5.0,-33.77,10.45,-11.46,-62.85,Seek needle
45.8,4.06,-34.86,11.45,-12.07,-65.09,Seek needle
47.78,5.3,-31.42,12.55,-12.24,-66.03,Seek needle
47.28,3.39,-32.78,11.62,-10.94,-62.16,Seek needle
48.57,2.26,-32.36,11.95,-12.62,-63.58,Seek needle
47.97,3.31,-31.66,11.96,-12.55,-61.71,Seek needle
48.97,4.08,-29.6,11.19,-13.21,-60.55,Seek needle
48.26,4.13,-29.73,11.0,-14.41,-60.46,Seek needle
46.61,2.14,-31.73,10.22,-15.0,-57.12,Seek needle
47.18,2.09,-30.05,12.73,-15.66,-60.01,Seek needle
46.58,0.92,-30.92,10.75,-15.27,-54.92,Seek needle
44.69,-0.32,-33.57,10.73,-14.84,-53.52,Seek needle
45.81,-0.33,-32.44,10.51,-15.49,-51.32,Seek needle
44.36,-0.33,-34.54,15.29,-15.88,-58.14,Seek needle
45.84,0.17,-33.22,17.14,-17.45,-60.15,Seek needle
47.12,0.11,-32.15,14.93,-16.95,-51.58,Seek needle
47.41,1.1,-31.09,17.43,-18.62,-56.21,Seek needle
46.48,0.45,-32.62,17.97,-18.96,-55.02,Seek needle
46.49,0.03,-33.44,18.7,-18.55,-54.84,Seek needle
46.94,0.31,-33.61,19.15,-19.07,-56.51,Seek needle
46.67,0.33,-34.2,16.17,-19.59,-52.89,Seek needle
46.64,0.1,-34.38,16.58,-18.56,-54.77,Seek needle
46.83,-0.29,-34.13,16.2,-17.45,-55.42,Seek needle
48.04,1.33,-30.92,15.82,-16.11,-56.43,Seek needle
47.79,-0.3,-31.76,15.23,-14.14,-58.71,Seek needle
47.6,0.04,-31.24,12.74,-13.01,-58.72,Seek needle
48.06,0.01,-30.49,11.68,-12.81,-60.93,Seek needle
48.05,0.27,-29.75,10.52,-14.54,-62.44,Seek needle
48.43,0.07,-28.61,10.83,-15.16,-64.57,Seek needle
49.07,-0.12,-26.22,9.96,-15.52,-65.06,Seek needle
48.23,-1.31,-26.39,11.42,-17.18,-71.2,Seek needle
49.82,0.33,-21.79,8.99,-16.06,-67.59,Seek needle
47.67,-0.34,-23.52,9.44,-15.42,-69.23,Seek needle
49.68,0.03,-20.19,7.32,-14.92,-66.79,Seek needle
44.75,-2.55,-28.27,7.62,-15.01,-68.33,Seek needle
41.44,-4.84,-34.5,6.19,-14.2,-66.89,Seek needle
45.33,-1.54,-28.64,5.74,-13.06,-68.65,Seek needle
45.25,-1.23,-29.88,2.3,-11.84,-68.65,Seek needle
46.3,-2.83,-30.09,0.23,-10.89,-71.18,Seek needle
49.21,-2.88,-27.23,-1.11,-10.28,-74.84,Seek needle
49.63,-2.63,-26.33,-0.9,-10.59,-80.04,Seek needle
51.79,-1.4,-22.5,-2.19,-10.04,-81.57,Seek needle
51.48,-1.29,-21.8,-1.97,-10.75,-83.76,Seek needle
50.08,-1.79,-22.75,-1.69,-11.11,-85.17,Seek needle
49.0,-3.09,-22.96,-1.34,-10.28,-84.96,Seek needle
48.7,-3.75,-21.79,-0.97,-10.42,-85.41,Seek needle
47.34,-4.56,-22.61,-2.64,-10.23,-83.49,Seek needle
49.71,-1.71,-15.93,-2.67,-10.94,-83.94,Seek needle
46.81,-3.94,-19.83,-3.37,-11.53,-83.73,Seek needle
46.31,-1.63,-16.9,-5.18,-10.8,-82.74,Seek needle
46.47,-0.66,-15.89,-6.95,-12.39,-84.27,Seek needle
43.71,-0.0,-19.39,-8.89,-13.19,-84.34,Seek needle
46.01,2.04,-17.22,-8.33,-14.61,-87.45,Seek needle
44.83,1.35,-21.71,-9.17,-15.73,-87.96,Seek needle
45.7,1.1,-22.83,-8.9,-15.43,-87.61,Seek needle
43.34,0.35,-27.02,-8.49,-15.66,-86.64,Seek needle
45.23,-0.19,-25.87,-6.09,-17.18,-87.92,Seek needle
45.15,1.16,-24.93,-6.18,-16.24,-82.51,Seek needle
43.67,1.0,-27.72,-4.76,-16.65,-80.53,Seek needle
47.91,3.06,-23.31,-3.73,-17.46,-78.83,Seek needle
46.73,3.3,-26.13,-2.43,-18.79,-78.36,Seek needle
49.34,3.47,-25.11,-2.66,-19.22,-76.21,Seek needle
49.14,1.71,-27.3,1.7,-21.38,-79.94,Seek needle
48.44,0.53,-28.58,3.22,-22.56,-77.1,Seek needle
50.05,2.36,-25.83,7.51,-25.33,-78.16,Seek needle
51.29,4.25,-24.46,9.66,-26.49,-74.71,Seek needle
54.52,4.81,-21.82,8.78,-25.1,-67.53,Seek needle
52.22,3.98,-26.44,9.32,-26.48,-70.43,Seek needle
53.32,4.82,-25.85,8.16,-25.45,-68.74,Seek needle
56.49,3.2,-25.06,7.51,-23.87,-69.1,Seek needle
59.65,1.62,-23.14,7.3,-25.55,-72.06,Seek needle
59.6,0.89,-20.25,5.74,-24.17,-62.08,Seek needle
59.03,2.17,-18.97,6.63,-26.38,-64.62,Seek needle
37.21,-65.26,-124.29,2.32,-23.81,-68.76,Seek needle
59.67,6.65,-10.14,2.88,-22.46,-71.91,Seek needle
57.85,4.37,-12.72,3.77,-22.83,-72.88,Seek needle
